datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2024-10-16 13:00:29,31,B+0.5,2,True,False,False,,-1,35.106,0
2024-10-16 13:01:02,41,B+9.5,5,True,False,False,,-1,34.0633,0
2024-10-16 13:01:23,50,B+17.5,6,True,False,False,,-1,29.6622,0
2024-10-16 13:01:47,30,B+R,1,False,False,False,W,-0.88,28.1332,0
2024-10-16 13:02:08,32,B+R,1,False,False,False,W,-0.88,26.8496,0
2024-10-16 13:02:33,34,B+R,1,False,False,False,W,-0.88,26.5166,0
2024-10-16 13:02:58,50,W+29.5,4,True,True,False,B,-0.88,26.2721,0
2024-10-16 13:03:31,49,W+R,0,False,False,False,B,-0.88,27.1588,0
2024-10-16 13:03:58,44,B+14.5,4,True,True,False,W,-0.88,27.1584,0
2024-10-16 13:04:23,41,W+R,2,False,False,False,B,-0.88,26.8748,0
2024-10-16 13:04:51,44,B+R,2,False,False,False,W,-0.88,27.0319,0
2024-10-16 13:05:18,50,B+R,6,False,False,False,W,-0.88,27.0212,0
2024-10-16 13:05:46,42,B+R,3,False,False,False,W,-0.88,27.0584,0
2024-10-16 13:06:09,32,B+R,1,False,False,False,W,-0.88,26.7837,0
2024-10-16 13:06:37,45,B+5.5,4,False,False,False,,-0.88,26.8831,0
2024-10-16 13:07:03,33,B+2.5,5,False,False,False,,-0.88,26.8168,0
2024-10-16 13:07:41,41,W+R,1,False,False,False,B,-0.88,27.4629,0
2024-10-16 13:08:09,32,B+R,1,False,False,False,W,-0.88,27.489,0
2024-10-16 13:08:36,31,B+2.5,2,True,True,False,W,-0.88,27.4797,0
2024-10-16 13:09:07,47,W+R,1,False,False,False,B,-0.88,27.6261,0
2024-10-16 13:09:34,46,B+R,2,False,False,False,W,-0.88,27.6257,0
2024-10-16 13:09:56,35,B+5.5,2,False,False,False,,-0.88,27.3502,0
2024-10-16 13:10:26,49,W+R,2,False,False,False,B,-0.88,27.4709,0
2024-10-16 13:10:45,38,B+R,3,False,False,False,W,-0.88,27.1378,0
2024-10-16 13:11:10,49,W+R,2,False,False,False,B,-0.88,27.0388,0
2024-10-16 13:11:34,37,B+4.5,5,True,True,False,W,-0.88,26.9079,0
