datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2024-10-16 13:00:31,50,W+19.5,6,True,False,False,,-1,36.5114,0
2024-10-16 13:00:58,40,B+5.5,6,True,False,False,,-1,31.9426,0
2024-10-16 13:01:23,30,W+11.5,2,True,False,False,,-1,29.6073,0
2024-10-16 13:01:46,36,B+R,3,False,False,False,W,-0.88,27.862,0
2024-10-16 13:02:14,32,W+10.5,4,False,False,False,,-0.88,28.0404,0
2024-10-16 13:02:43,50,W+15.5,5,True,True,False,B,-0.88,28.0475,0
2024-10-16 13:03:09,32,B+R,1,False,False,False,W,-0.88,27.8712,0
2024-10-16 13:03:32,48,B+R,4,False,False,False,W,-0.88,27.2483,0
2024-10-16 13:04:07,44,B+R,3,False,False,False,W,-0.88,28.1118,0
2024-10-16 13:04:29,26,W+3.5,3,False,False,False,,-0.88,27.4674,0
2024-10-16 13:04:47,49,W+R,4,False,False,False,B,-0.88,26.6061,0
2024-10-16 13:05:09,49,W+R,2,False,False,False,B,-0.88,26.2424,0
2024-10-16 13:05:34,34,B+R,3,False,False,False,W,-0.88,26.1151,0
2024-10-16 13:06:02,45,W+R,0,False,False,False,B,-0.88,26.2561,0
2024-10-16 13:06:27,47,W+R,2,False,False,False,B,-0.88,26.2034,0
2024-10-16 13:06:45,38,W+24.5,2,False,False,False,,-0.88,25.6585,0
2024-10-16 13:07:11,48,B+R,2,False,False,False,W,-0.88,25.6885,0
2024-10-16 13:07:43,37,W+R,3,False,False,False,B,-0.88,26.0367,0
2024-10-16 13:08:09,44,B+R,2,False,False,False,W,-0.88,26.0642,0
2024-10-16 13:08:36,40,B+R,1,False,False,False,W,-0.88,26.0899,0
2024-10-16 13:09:01,48,B+R,1,False,False,False,W,-0.88,26.0299,0
2024-10-16 13:09:17,41,W+R,2,False,False,False,B,-0.88,25.5669,0
2024-10-16 13:09:48,49,W+R,2,False,False,False,B,-0.88,25.8082,0
2024-10-16 13:10:09,49,B+17.5,7,False,False,False,,-0.88,25.632,0
2024-10-16 13:10:37,46,B+R,1,False,False,False,W,-0.88,25.6975,0
2024-10-16 13:11:12,45,W+R,2,False,False,False,B,-0.88,26.0549,0
2024-10-16 13:11:48,49,W+R,5,False,False,False,B,-0.88,26.4478,0
2024-10-16 13:12:12,45,W+R,1,False,False,False,B,-0.88,26.3632,0
2024-10-16 13:12:45,50,W+1.5,7,True,False,False,,-0.88,26.5766,0
2024-10-16 13:13:17,42,B+R,3,False,False,False,W,-0.88,26.7518,0
2024-10-16 13:13:38,49,W+R,4,False,False,False,B,-0.88,26.5848,0
2024-10-16 13:13:59,36,B+R,0,False,False,False,W,-0.88,26.4103,0
2024-10-16 13:14:20,36,B+R,6,False,False,False,W,-0.88,26.245,0
2024-10-16 13:14:47,48,B+R,2,False,False,False,W,-0.88,26.2628,0
2024-10-16 13:15:11,43,W+R,4,False,False,False,B,-0.88,26.201,0
2024-10-16 13:15:30,42,B+R,4,False,False,False,W,-0.88,25.9821,0
2024-10-16 13:15:44,32,B+R,2,False,False,False,W,-0.88,25.6812,0
2024-10-16 13:16:11,45,W+R,1,False,False,False,B,-0.88,25.6928,0
2024-10-16 13:16:36,36,B+R,0,False,False,False,W,-0.88,25.6857,0
2024-10-16 13:16:53,29,W+R,1,False,False,False,B,-0.88,25.4642,0
2024-10-16 13:17:11,32,B+R,1,False,False,False,W,-0.88,25.288,0
2024-10-16 13:17:37,40,B+R,2,False,False,False,W,-0.88,25.3,0
2024-10-16 13:18:01,48,B+R,1,False,False,False,W,-0.88,25.268,0
2024-10-16 13:18:24,49,W+R,2,False,False,False,B,-0.88,25.2101,0
2024-10-16 13:18:48,50,B+R,1,False,False,False,W,-0.88,25.1842,0
2024-10-16 13:19:11,48,W+32.5,4,True,False,False,,-0.88,25.144,0
2024-10-16 13:19:33,40,W+19.5,2,False,False,False,,-0.88,25.0786,0
2024-10-16 13:20:06,49,W+R,4,False,False,False,B,-0.88,25.2491,0
2024-10-16 13:20:27,42,B+R,0,False,False,False,W,-0.88,25.1588,0
2024-10-16 13:20:54,38,B+R,2,False,False,False,W,-0.88,25.1947,0
2024-10-16 13:21:20,50,B+R,3,False,False,False,W,-0.88,25.2056,0
2024-10-16 13:21:45,47,W+R,2,False,False,False,B,-0.88,25.2079,0
2024-10-16 13:22:02,49,B+7.5,4,True,True,False,W,-0.88,25.0429,0
2024-10-16 13:22:15,29,B+6.5,4,False,False,False,,-0.88,24.8295,0
2024-10-16 13:22:41,48,B+R,0,False,False,False,W,-0.88,24.8455,0
2024-10-16 13:22:56,45,W+R,2,False,False,False,B,-0.88,24.6651,0
2024-10-16 13:23:21,50,W+13.5,3,True,False,False,,-0.88,24.6864,0
2024-10-16 13:23:42,49,W+R,3,False,False,False,B,-0.88,24.6186,0
2024-10-16 13:24:06,39,W+R,2,False,False,False,B,-0.88,24.5966,0
2024-10-16 13:24:30,45,W+R,1,False,False,False,B,-0.88,24.5928,0
2024-10-16 13:24:47,30,W+8.5,2,False,False,False,,-0.88,24.4651,0
2024-10-16 13:25:06,43,B+2.5,7,True,True,False,W,-0.88,24.3826,0
2024-10-16 13:25:24,48,B+R,1,False,False,False,W,-0.88,24.2759,0
2024-10-16 13:25:45,48,B+R,2,False,False,False,W,-0.88,24.2264,0
2024-10-16 13:26:11,49,B+12.5,4,False,False,False,,-0.88,24.2519,0
2024-10-16 13:26:28,36,W+24.5,2,False,False,False,,-0.88,24.1457,0
2024-10-16 13:26:45,29,W+R,0,False,False,False,B,-0.88,24.046,0
2024-10-16 13:27:09,49,W+R,2,False,False,False,B,-0.88,24.0431,0
2024-10-16 13:27:27,30,B+R,0,False,False,False,W,-0.88,23.9543,0
2024-10-16 13:27:44,42,B+R,4,False,False,False,W,-0.88,23.8554,0
2024-10-16 13:28:00,28,B+R,0,False,False,False,W,-0.88,23.7479,0
2024-10-16 13:28:19,31,W+R,0,False,False,False,B,-0.88,23.6735,0
2024-10-16 13:28:42,42,B+R,5,False,False,False,W,-0.88,23.6612,0
2024-10-16 13:29:00,49,B+9.5,5,False,False,False,,-0.88,23.5886,0
2024-10-16 13:29:25,50,B+R,2,False,False,False,W,-0.88,23.6049,0
2024-10-16 13:29:41,33,B+4.5,2,False,False,False,,-0.88,23.5109,0
2024-10-16 13:29:57,46,B+R,1,False,False,False,W,-0.88,23.4051,0
2024-10-16 13:30:10,37,W+R,0,False,False,False,B,-0.88,23.2807,0
2024-10-16 13:30:31,35,W+R,2,False,False,False,B,-0.88,23.2429,0
2024-10-16 13:30:47,28,B+R,0,False,False,False,W,-0.88,23.1559,0
