datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2024-10-16 13:00:11,22,W+13.5,2,True,False,False,,-1,17.2227,0
2024-10-16 13:00:32,34,B+2.5,7,True,False,False,,-1,19.0054,0
2024-10-16 13:00:53,50,W+19.5,4,True,False,False,,-1,19.7964,0
2024-10-16 13:01:07,29,B+0.5,5,True,False,False,,-1,18.2544,0
2024-10-16 13:01:19,32,B+2.5,4,True,False,False,,-1,17.0717,0
2024-10-16 13:01:31,27,W+R,4,False,False,False,B,-0.88,16.2511,0
2024-10-16 13:01:45,33,B+0.5,7,False,False,False,,-0.88,15.9226,0
2024-10-16 13:02:00,32,B+R,4,False,False,False,W,-0.88,15.7332,0
2024-10-16 13:02:17,35,W+R,6,False,False,False,B,-0.88,15.9744,0
2024-10-16 13:02:35,47,W+R,10,False,False,False,B,-0.88,16.1163,0
2024-10-16 13:02:48,28,W+2.5,5,False,False,False,,-0.88,15.8627,0
2024-10-16 13:03:04,22,W+8.5,2,False,False,False,,-0.88,15.8842,0
2024-10-16 13:03:16,27,B+1.5,5,False,False,False,,-0.88,15.5773,0
2024-10-16 13:03:27,20,W+0.5,2,False,False,False,,-0.88,15.2539,0
2024-10-16 13:03:45,49,W+R,10,False,False,False,B,-0.88,15.3973,0
2024-10-16 13:04:00,37,W+R,8,False,False,False,B,-0.88,15.4254,0
2024-10-16 13:04:14,29,W+R,3,False,False,False,B,-0.88,15.3212,0
2024-10-16 13:04:26,50,B+R,12,False,False,False,W,-0.88,15.1019,0
2024-10-16 13:04:44,30,B+R,5,False,False,False,W,-0.88,15.2719,0
2024-10-16 13:05:00,22,W+6.5,2,False,False,False,,-0.88,15.3133,0
2024-10-16 13:05:10,20,W+6.5,2,False,False,False,,-0.88,15.0427,0
2024-10-16 13:05:24,23,W+3.5,3,False,False,False,,-0.88,15.0173,0
2024-10-16 13:05:41,47,W+R,8,False,False,False,B,-0.88,15.1009,0
2024-10-16 13:05:54,27,B+2.5,4,False,False,False,,-0.88,15.0184,0
2024-10-16 13:06:09,27,W+R,3,False,False,False,B,-0.88,15.009,0
2024-10-16 13:06:24,36,B+R,7,False,False,False,W,-0.88,15.0294,0
2024-10-16 13:06:37,20,W+9.5,2,False,False,False,,-0.88,14.9396,0
2024-10-16 13:06:49,31,W+R,6,False,False,False,B,-0.88,14.8346,0
2024-10-16 13:07:00,31,W+0.5,5,True,True,False,B,-0.88,14.7103,0
2024-10-16 13:07:13,28,B+R,3,False,False,False,W,-0.88,14.6304,0
2024-10-16 13:07:34,37,W+12.5,7,False,False,False,,-0.88,14.8429,0
2024-10-16 13:07:48,27,W+R,1,False,False,False,B,-0.88,14.8152,0
2024-10-16 13:08:04,23,W+3.5,4,True,False,False,,-0.88,14.8504,0
2024-10-16 13:08:16,34,B+R,6,False,False,False,W,-0.88,14.7642,0
2024-10-16 13:08:26,22,W+7.5,2,False,False,False,,-0.88,14.6354,0
2024-10-16 13:08:37,39,W+R,5,False,False,False,B,-0.88,14.5468,0
2024-10-16 13:08:53,49,W+R,9,False,False,False,B,-0.88,14.5683,0
2024-10-16 13:09:06,42,B+R,9,False,False,False,W,-0.88,14.5365,0
2024-10-16 13:09:26,50,W+10.5,11,True,True,False,B,-0.88,14.6723,0
2024-10-16 13:09:41,48,B+R,7,False,False,False,W,-0.88,14.6735,0
2024-10-16 13:09:57,31,W+R,5,False,False,False,B,-0.88,14.7163,0
2024-10-16 13:10:11,31,B+0.5,7,False,False,False,,-0.88,14.6886,0
2024-10-16 13:10:28,29,W+R,6,False,False,False,B,-0.88,14.7403,0
2024-10-16 13:10:45,27,W+R,4,False,False,False,B,-0.88,14.8102,0
2024-10-16 13:11:00,48,B+R,7,False,False,False,W,-0.88,14.8076,0
2024-10-16 13:11:17,31,W+0.5,7,True,True,False,B,-0.88,14.8581,0
2024-10-16 13:11:34,45,W+R,6,False,False,False,B,-0.88,14.9016,0
2024-10-16 13:11:45,28,B+R,4,False,False,False,W,-0.88,14.8197,0
2024-10-16 13:12:02,30,B+R,2,False,False,False,W,-0.88,14.8691,0
2024-10-16 13:12:19,31,W+R,6,False,False,False,B,-0.88,14.8998,0
2024-10-16 13:12:34,31,W+R,2,False,False,False,B,-0.88,14.9175,0
2024-10-16 13:12:48,20,W+7.5,2,False,False,False,,-0.88,14.9001,0
2024-10-16 13:12:59,24,W+8.5,4,False,False,False,,-0.88,14.8262,0
