datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2024-10-16 13:39:49,200,3.1598172187805176,0.8769420385360718,0.01,2000,76195
2024-10-16 13:39:53,400,2.927177906036377,0.7878879904747009,0.01,2000,76195
2024-10-16 13:39:58,600,2.810051918029785,0.7711277008056641,0.01,2000,76195
2024-10-16 13:40:02,800,2.4886014461517334,0.7493957281112671,0.01,2000,76195
2024-10-16 13:40:06,1000,2.340846061706543,0.7888760566711426,0.01,2000,76195
2024-10-16 13:57:54,1200,2.4347658157348633,0.7975440621376038,0.01,2500,92347
2024-10-16 13:57:58,1400,2.258540630340576,0.6402907371520996,0.01,2500,92347
2024-10-16 13:58:02,1600,2.204005479812622,0.6267319321632385,0.01,2500,92347
2024-10-16 13:58:07,1800,2.2492599487304688,0.6659080982208252,0.01,2500,92347
2024-10-16 13:58:11,2000,2.408245801925659,0.793632984161377,0.01,2500,92347
2024-10-16 14:13:59,2200,2.18424654006958,0.6334114074707031,0.01,3000,107076
2024-10-16 14:14:03,2400,2.1480302810668945,0.6299303770065308,0.01,3000,107076
2024-10-16 14:14:08,2600,2.3398423194885254,0.7662835121154785,0.01,3000,107076
2024-10-16 14:14:12,2800,2.1675050258636475,0.5815880298614502,0.01,3000,107076
2024-10-16 14:14:17,3000,2.1383841037750244,0.5054699778556824,0.01,3000,107076
2024-10-16 14:28:54,3200,2.3178839683532715,0.8113601207733154,0.01,3500,121717
2024-10-16 14:28:58,3400,2.1106510162353516,0.5054038166999817,0.01,3500,121717
2024-10-16 14:29:02,3600,2.1390504837036133,0.5151371955871582,0.01,3500,121717
2024-10-16 14:29:07,3800,2.131681442260742,0.4750451445579529,0.01,3500,121717
2024-10-16 14:29:11,4000,2.2798988819122314,0.7440881729125977,0.01,3500,121717
2024-10-16 14:43:38,4200,2.1842474937438965,0.7304621338844299,0.01,4000,136406
2024-10-16 14:43:43,4400,1.9855186939239502,0.4437355399131775,0.01,4000,136406
2024-10-16 14:43:47,4600,2.0231728553771973,0.44303077459335327,0.01,4000,136406
2024-10-16 14:43:51,4800,2.0298783779144287,0.4656899869441986,0.01,4000,136406
2024-10-16 14:43:55,5000,2.233842134475708,0.6763033866882324,0.01,4000,136406
2024-10-16 14:57:49,5200,2.2393059730529785,0.6370377540588379,0.01,4500,150962
2024-10-16 14:57:53,5400,2.1601722240448,0.5962653160095215,0.01,4500,150962
2024-10-16 14:57:58,5600,1.9262681007385254,0.45379576086997986,0.01,4500,150962
2024-10-16 14:58:02,5800,2.0882556438446045,0.5939142107963562,0.01,4500,150962
2024-10-16 14:58:06,6000,2.2198123931884766,0.5733823180198669,0.01,4500,150962
2024-10-16 15:11:03,6200,1.8631891012191772,0.41326797008514404,0.01,5000,165375
2024-10-16 15:11:08,6400,2.061422348022461,0.5816724300384521,0.01,5000,165375
2024-10-16 15:11:12,6600,1.7984850406646729,0.3935292363166809,0.01,5000,165375
2024-10-16 15:11:16,6800,2.105029821395874,0.5762733221054077,0.01,5000,165375
2024-10-16 15:11:21,7000,1.8598729372024536,0.3116135597229004,0.01,5000,165375
2024-10-16 15:24:01,7200,2.0030064582824707,0.5232819318771362,0.01,5500,179653
2024-10-16 15:24:05,7400,1.9898475408554077,0.5398327112197876,0.01,5500,179653
2024-10-16 15:24:10,7600,2.0431771278381348,0.6045810580253601,0.01,5500,179653
2024-10-16 15:24:14,7800,2.008638381958008,0.519614040851593,0.01,5500,179653
2024-10-16 15:24:18,8000,1.956878900527954,0.44330644607543945,0.01,5500,179653
2024-10-16 15:36:23,8200,1.6228289604187012,0.31428128480911255,0.01,6000,193861
2024-10-16 15:36:28,8400,1.6753106117248535,0.33376559615135193,0.01,6000,193861
2024-10-16 15:36:32,8600,1.8658146858215332,0.427816778421402,0.01,6000,193861
2024-10-16 15:36:36,8800,1.823314905166626,0.5552403926849365,0.01,6000,193861
2024-10-16 15:36:41,9000,1.9255743026733398,0.4942435026168823,0.01,6000,193861
2024-10-16 15:48:47,9200,1.7540943622589111,0.43866896629333496,0.01,6500,208357
2024-10-16 15:48:51,9400,1.7722350358963013,0.44599294662475586,0.01,6500,208357
2024-10-16 15:48:56,9600,1.7997225522994995,0.4329594671726227,0.01,6500,208357
2024-10-16 15:49:00,9800,1.8325856924057007,0.47237440943717957,0.01,6500,208357
2024-10-16 15:49:04,10000,1.7822113037109375,0.4809969663619995,0.01,6500,208357
2024-10-16 16:00:51,10200,1.5218329429626465,0.31344854831695557,0.01,7000,222753
2024-10-16 16:00:55,10400,1.7357983589172363,0.4166453778743744,0.01,7000,222753
2024-10-16 16:01:00,10600,1.6699624061584473,0.43186336755752563,0.01,7000,222753
2024-10-16 16:01:04,10800,1.690457820892334,0.4606821835041046,0.01,7000,222753
2024-10-16 16:01:09,11000,1.7002615928649902,0.49875983595848083,0.01,7000,222753
2024-10-16 16:13:15,11200,1.6035902500152588,0.4385793209075928,0.01,7500,237114
2024-10-16 16:13:19,11400,1.6407450437545776,0.39250439405441284,0.01,7500,237114
2024-10-16 16:13:24,11600,1.3488110303878784,0.3223683834075928,0.01,7500,237114
2024-10-16 16:13:28,11800,1.6375086307525635,0.4645145833492279,0.01,7500,237114
2024-10-16 16:13:33,12000,1.5977094173431396,0.4397711157798767,0.01,7500,237114
2024-10-16 16:24:59,12200,1.5315792560577393,0.4568207263946533,0.01,8000,251325
2024-10-16 16:25:03,12400,1.3793139457702637,0.2592752277851105,0.01,8000,251325
2024-10-16 16:25:08,12600,1.3602471351623535,0.2560008764266968,0.01,8000,251325
2024-10-16 16:25:12,12800,1.3510217666625977,0.26225048303604126,0.01,8000,251325
2024-10-16 16:25:16,13000,1.3970897197723389,0.29380521178245544,0.01,8000,251325
2024-10-16 16:36:44,13200,1.2853789329528809,0.3091392517089844,0.01,8500,265641
2024-10-16 16:36:48,13400,1.2668147087097168,0.3437786102294922,0.01,8500,265641
